electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
0.157,0.0,0.0,0.0,0.0,11,5,2
0.156,0.0,0.0,0.0,0.0,11,5,3
0.14200000000000002,0.0,0.0,0.0,0.0,11,5,4
0.249,0.0,0.0,0.0,0.0,11,5,5
0.228,0.0,0.0,0.009,0.0,11,5,6
0.17700000000000002,0.0,0.0,0.384,0.0,11,5,7
0.17,0.0,0.0,1.2329999999999999,0.0,11,5,8
0.19099999999999998,0.0,0.0,3.512,0.0,11,5,9
0.2,0.0,0.0,3.9530000000000003,0.0,11,5,10
0.165,0.0,0.0,2.2470000000000003,0.0,11,5,11
0.144,0.0,0.0,1.0659999999999998,0.0,11,5,12
0.14700000000000002,0.0,0.0,0.8799999999999999,0.0,11,5,13
0.139,0.0,0.0,0.526,0.0,11,5,14
0.161,0.0,0.0,0.036000000000000004,0.0,11,5,15
0.32300000000000006,0.0,0.0,0.0,0.0,11,5,16
0.384,0.0,0.0,0.0,0.0,11,5,17
0.242,0.0,0.0,0.0,0.0,11,5,18
0.23199999999999998,0.0,0.0,0.0,0.0,11,5,19
0.243,0.0,0.0,0.0,0.0,11,5,20
0.21199999999999997,0.0,0.0,0.0,0.0,11,5,21
0.161,0.0,0.0,0.0,0.0,11,5,22
0.161,0.0,0.0,0.0,0.0,11,5,23
0.165,0.0,0.0,0.0,0.0,11,6,0
0.144,0.0,0.0,0.0,0.0,11,6,1
0.165,0.0,0.0,0.0,0.0,11,6,2
0.164,0.0,0.0,0.0,0.0,11,6,3
0.152,0.0,0.0,0.0,0.0,11,6,4
0.293,0.0,0.0,0.0,0.0,11,6,5
0.198,0.0,0.0,0.004,0.0,11,6,6
0.6980000000000001,0.0,0.0,0.242,0.0,11,6,7
0.659,0.0,0.0,0.5680000000000001,0.0,11,6,8
0.44099999999999995,0.0,0.0,1.09,0.0,11,6,9
0.185,0.0,0.0,1.639,0.0,11,6,10
1.0884581196581196,0.0,0.0,5.521,0.0,11,6,11
0.6657555555555554,0.0,0.0,6.241,0.0,11,6,12
0.41863760683760703,0.0,0.0,3.6979999999999995,0.0,11,6,13
0.6890000000000001,0.0,0.0,1.8199999999999998,0.0,11,6,14
0.8699999999999999,0.0,0.0,0.376,0.0,11,6,15
0.508,0.0,0.0,0.0,0.0,11,6,16
0.246,0.0,0.0,0.0,0.0,11,6,17
0.269,0.0,0.0,0.0,0.0,11,6,18
0.268,0.0,0.0,0.0,0.0,11,6,19
0.263,0.0,0.0,0.0,0.0,11,6,20
0.238,0.0,0.0,0.0,0.0,11,6,21
0.201,0.0,0.0,0.0,0.0,11,6,22
0.18,0.0,0.0,0.0,0.0,11,6,23
0.159,0.0,0.0,0.0,0.0,11,7,0
0.184,0.0,0.0,0.0,0.0,11,7,1
0.187,0.0,0.0,0.0,0.0,11,7,2
0.15,0.0,0.0,0.0,0.0,11,7,3
0.17900000000000002,0.0,0.0,0.0,0.0,11,7,4
0.201,0.0,0.0,0.0,0.0,11,7,5
0.235,0.0,0.0,0.031,0.0,11,7,6
0.22899999999999998,0.0,0.0,0.626,0.0,11,7,7
0.196,0.0,0.0,1.837,0.0,11,7,8
0.22699999999999998,0.0,0.0,3.196,0.0,11,7,9
0.6930000000000001,0.0,0.0,4.246,0.0,11,7,10
0.9368976800976798,0.0,0.0,4.696,0.0,11,7,11
0.5128376068376067,0.0,0.0,4.583,0.0,11,7,12
0.8109999999999999,0.0,0.0,2.833,0.0,11,7,13
0.268,0.0,0.0,1.205,0.0,11,7,14
0.21400000000000002,0.0,0.0,0.192,0.0,11,7,15
0.37700000000000006,0.0,0.0,0.0,0.0,11,7,16
0.24,0.0,0.0,0.0,0.0,11,7,17
0.8140000000000001,0.0,0.0,0.0,0.0,11,7,18
0.45299999999999996,0.0,0.0,0.0,0.0,11,7,19
0.821,0.0,0.0,0.0,0.0,11,7,20
0.249,0.0,0.0,0.0,0.0,11,7,21
0.21499999999999997,0.0,0.0,0.0,0.0,11,7,22
0.194,0.0,0.0,0.0,0.0,11,7,23
0.184,0.0,0.0,0.0,0.0,11,8,0
0.181,0.0,0.0,0.0,0.0,11,8,1
0.16099999999999998,0.0,0.0,0.0,0.0,11,8,2
0.17400000000000002,0.0,0.0,0.0,0.0,11,8,3
0.18100000000000002,0.0,0.0,0.0,0.0,11,8,4
0.181,0.0,0.0,0.0,0.0,11,8,5
0.191,0.0,0.0,0.014,0.0,11,8,6
0.25,0.0,0.0,0.148,0.0,11,8,7
0.253,0.0,0.0,1.028,0.0,11,8,8
1.484,0.0,0.0,1.5270000000000001,0.0,11,8,9
0.985,0.0,0.0,1.7489999999999999,0.0,11,8,10
2.08,0.0,0.0,1.317,0.0,11,8,11
0.764,0.0,0.0,1.3279999999999998,0.0,11,8,12
0.6970000000000001,0.0,0.0,2.985,0.0,11,8,13
0.6970000000000001,0.0,0.0,1.677,0.0,11,8,14
0.769,0.0,0.0,0.24700000000000003,0.0,11,8,15
0.9520000000000001,0.0,0.0,0.0,0.0,11,8,16
0.255,0.0,0.0,0.0,0.0,11,8,17
0.274,0.0,0.0,0.0,0.0,11,8,18
0.237,0.0,0.0,0.0,0.0,11,8,19
0.26,0.0,0.0,0.0,0.0,11,8,20
0.243,0.0,0.0,0.0,0.0,11,8,21
0.17700000000000002,0.0,0.0,0.0,0.0,11,8,22
0.186,0.0,0.0,0.0,0.0,11,8,23
0.18,0.0,0.0,0.0,0.0,11,9,0
0.147,0.0,0.0,0.0,0.0,11,9,1
0.18500000000000003,0.0,0.0,0.0,0.0,11,9,2
0.15699999999999997,0.0,0.0,0.0,0.0,11,9,3
0.189,0.0,0.0,0.0,0.0,11,9,4
0.301,0.0,0.0,0.0,0.0,11,9,5
0.189,0.0,0.0,0.031,0.0,11,9,6
0.17900000000000002,0.0,0.0,0.42100000000000004,0.0,11,9,7
0.20600000000000002,0.0,0.0,2.314,0.0,11,9,8
0.212,0.0,0.0,4.324,0.0,11,9,9
