timestamp,serial,charger_id_org,transaction_id,e_production,e_consumption,e_charger,charger_id
2020-11-01 01:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,164.0,,2
2020-11-01 01:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,168.0,,2
2020-11-01 01:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,134.0,,2
2020-11-01 01:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,171.0,,2
2020-11-01 02:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,164.0,,2
2020-11-01 02:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,167.0,,2
2020-11-01 02:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,160.0,,2
2020-11-01 02:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,139.0,,2
2020-11-01 03:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,158.0,,2
2020-11-01 03:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,154.0,,2
2020-11-01 03:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,163.0,,2
2020-11-01 03:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,175.0,,2
2020-11-01 04:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,162.0,,2
2020-11-01 04:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,159.0,,2
2020-11-01 04:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,135.0,,2
2020-11-01 04:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,180.0,,2
2020-11-01 05:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,143.0,,2
2020-11-01 05:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,182.0,,2
2020-11-01 05:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,165.0,,2
2020-11-01 05:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,159.0,,2
2020-11-01 06:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,162.0,,2
2020-11-01 06:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,154.0,,2
2020-11-01 06:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,154.0,,2
2020-11-01 06:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,177.0,,2
2020-11-01 07:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,161.0,,2
2020-11-01 07:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,152.0,,2
2020-11-01 07:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,0.0,165.0,,2
2020-11-01 07:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,11.0,153.0,,2
2020-11-01 08:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,37.0,149.0,,2
2020-11-01 08:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,36.0,171.0,,2
2020-11-01 08:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,32.0,156.0,,2
2020-11-01 08:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,50.0,138.0,,2
2020-11-01 09:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,74.0,188.0,,2
2020-11-01 09:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,97.0,157.0,,2
2020-11-01 09:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,81.0,135.0,,2
2020-11-01 09:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,103.0,177.0,,2
2020-11-01 10:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,112.0,143.0,,2
2020-11-01 10:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,146.0,156.0,,2
2020-11-01 10:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,159.0,146.0,,2
2020-11-01 10:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,246.0,156.0,,2
2020-11-01 11:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,166.0,162.0,,2
2020-11-01 11:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,143.0,135.0,,2
2020-11-01 11:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,128.0,171.0,,2
2020-11-01 11:45:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,171.0,140.0,,2
2020-11-01 12:00:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,193.0,154.0,,2
2020-11-01 12:15:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,243.0,163.0,,2
2020-11-01 12:30:00+01:00,120104.0,13ab39f6-574c-4065-860b-36145cd86e03,,219.0,166.0,,2
