electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour
2.128,0.0,,-1.0,1.0,11,1,0
0.24,0.0,,-1.0,1.0,11,1,1
0.722,0.0,,-1.0,1.0,11,1,2
2.186,0.0,,-1.0,1.0,11,1,3
2.162,0.0,,-1.0,1.0,11,1,4
1.701,0.0,,-1.0,1.0,11,1,5
0.258,0.147,,-1.0,1.0,11,1,6
0.764,0.5,,-1.0,1.0,11,1,7
2.059,1.161,,-1.0,1.0,11,1,8
0.295,1.879,,-1.0,1.0,11,1,9
0.591,1.361,,-1.0,1.0,11,1,10
1.403,1.318,,-1.0,1.0,11,1,11
2.3890000000000002,1.133,,-1.0,1.0,11,1,12
2.7520000000000002,1.069,,-1.0,1.0,11,1,13
1.248,0.433,,-1.0,1.0,11,1,14
0.861,0.078,,-1.0,1.0,11,1,15
1.692,0.0,,-1.0,1.0,11,1,16
0.55,0.0,,-1.0,1.0,11,1,17
0.871,0.0,,-1.0,1.0,11,1,18
2.619,0.0,,-1.0,1.0,11,1,19
1.68,0.0,,-1.0,1.0,11,1,20
0.5429999999999999,0.0,,-1.0,1.0,11,1,21
0.26,0.0,,-1.0,1.0,11,1,22
0.262,0.0,,-1.0,1.0,11,1,23
0.262,0.0,,-1.0,1.0,11,2,0
0.662,0.0,,-1.0,1.0,11,2,1
1.7559999999999998,0.0,,-1.0,1.0,11,2,2
0.246,0.0,,-1.0,1.0,11,2,3
0.262,0.0,,-1.0,1.0,11,2,4
0.269,0.0,,-1.0,1.0,11,2,5
1.733,0.026999999999999996,,-1.0,1.0,11,2,6
1.526,0.469,,-1.0,1.0,11,2,7
0.399,1.298,,-1.0,1.0,11,2,8
0.281,2.513,,-1.0,1.0,11,2,9
0.379,2.566,,-1.0,1.0,11,2,10
0.524,4.28,3.8987076923076924,47.0,0.6499734117485975,11,2,11
1.833,3.379,3.903138461538462,46.0,0.758828504117523,11,2,12
0.343,3.099,3.900328205128205,45.0,0.8678073071700765,11,2,13
0.28600000000000003,1.7469999999999999,0.8342290598290598,44.0,0.9767076455760697,11,2,14
0.388,0.728,0.0,43.0,1.0,11,2,15
1.2610000000000001,0.0,0.0,42.0,1.0,11,2,16
1.5190000000000001,0.0,0.0,41.0,1.0,11,2,17
1.3,0.0,0.0,40.0,1.0,11,2,18
3.1320000000000006,0.0,0.0,39.0,1.0,11,2,19
1.023,0.0,0.0,38.0,1.0,11,2,20
0.327,0.0,0.0,37.0,1.0,11,2,21
0.26,0.0,0.0,36.0,1.0,11,2,22
0.261,0.0,0.0,35.0,1.0,11,2,23
0.263,0.0,0.0,34.0,1.0,11,3,0
0.261,0.0,0.0,33.0,1.0,11,3,1
0.263,0.0,0.0,32.0,1.0,11,3,2
0.251,0.0,0.0,31.0,1.0,11,3,3
1.1840000000000002,0.0,0.0,30.0,1.0,11,3,4
1.463,0.0,0.0,29.0,1.0,11,3,5
0.461,0.039999999999999994,0.0,28.0,1.0,11,3,6
0.272,0.119,0.0,27.0,1.0,11,3,7
0.921,0.48200000000000004,0.0,26.0,1.0,11,3,8
1.435,0.752,0.0,25.0,1.0,11,3,9
3.768,1.54,0.0,24.0,1.0,11,3,10
1.113,1.339,0.0,23.0,1.0,11,3,11
0.517,0.752,0.0,22.0,1.0,11,3,12
1.5040000000000002,0.64,0.0,21.0,1.0,11,3,13
0.28900000000000003,0.40499999999999997,0.0,20.0,1.0,11,3,14
0.446,0.003,0.0,19.0,1.0,11,3,15
0.551,0.0,0.0,18.0,1.0,11,3,16
1.937,0.0,0.0,17.0,1.0,11,3,17
2.779,0.0,0.0,16.0,1.0,11,3,18
0.8820000000000001,0.0,0.0,15.0,1.0,11,3,19
0.628,0.0,0.0,14.0,1.0,11,3,20
1.0,0.0,0.0,13.0,1.0,11,3,21
1.9629999999999999,0.0,0.0,12.0,1.0,11,3,22
0.268,0.0,0.0,11.0,1.0,11,3,23
0.264,0.0,0.0,10.0,1.0,11,4,0
1.0110000000000001,0.0,0.0,9.0,1.0,11,4,1
1.839,0.0,0.0,8.0,1.0,11,4,2
0.256,0.0,0.0,7.0,1.0,11,4,3
0.272,0.0,0.0,6.0,1.0,11,4,4
2.403,0.0,0.0,5.0,1.0,11,4,5
1.756,0.045,0.0,4.0,1.0,11,4,6
0.322,0.28500000000000003,0.0,3.0,1.0,11,4,7
0.271,0.506,0.0,2.0,1.0,11,4,8
1.601,1.4849999999999999,0.0,1.0,1.0,11,4,9
1.907,1.546,0.0,0.0,1.0,11,4,10
1.9310000000000003,1.7750000000000001,,-1.0,1.0,11,4,11
0.392,1.7349999999999999,,-1.0,1.0,11,4,12
0.327,0.899,,-1.0,1.0,11,4,13
0.534,0.276,,-1.0,1.0,11,4,14
2.2649999999999997,0.046,,-1.0,1.0,11,4,15
1.186,0.0,,-1.0,1.0,11,4,16
2.4930000000000003,0.0,,-1.0,1.0,11,4,17
1.999,0.0,,-1.0,1.0,11,4,18
0.562,0.0,,-1.0,1.0,11,4,19
0.359,0.0,,-1.0,1.0,11,4,20
2.0140000000000002,0.0,,-1.0,1.0,11,4,21
0.8600000000000001,0.0,,-1.0,1.0,11,4,22
0.269,0.0,,-1.0,1.0,11,4,23
0.269,0.0,,-1.0,1.0,11,5,0
1.6219999999999999,0.0,,-1.0,1.0,11,5,1
1.265,0.0,,-1.0,1.0,11,5,2
0.255,0.0,,-1.0,1.0,11,5,3
0.318,0.0,,-1.0,1.0,11,5,4
2.378,0.0,,-1.0,1.0,11,5,5
2.2310000000000003,0.017,,-1.0,1.0,11,5,6
0.392,0.41300000000000003,,-1.0,1.0,11,5,7
0.29800000000000004,1.25,,-1.0,1.0,11,5,8
0.609,2.176,,-1.0,1.0,11,5,9
1.6909999999999998,3.385,,-1.0,1.0,11,5,10
1.7610000000000001,3.606,,-1.0,1.0,11,5,11
0.266,3.9509999999999996,,-1.0,1.0,11,5,12
0.257,3.1009999999999995,,-1.0,1.0,11,5,13
0.263,2.413,,-1.0,1.0,11,5,14
0.368,0.203,,-1.0,1.0,11,5,15
2.023,0.0,,-1.0,1.0,11,5,16
2.2590000000000003,0.0,,-1.0,1.0,11,5,17
2.636,0.0,,-1.0,1.0,11,5,18
1.262,0.0,,-1.0,1.0,11,5,19
1.369,0.0,,-1.0,1.0,11,5,20
2.266,0.0,,-1.0,1.0,11,5,21
1.861,0.0,,-1.0,1.0,11,5,22
0.228,0.0,,-1.0,1.0,11,5,23
1.7069999999999999,0.0,,-1.0,1.0,11,6,0
2.425,0.0,,-1.0,1.0,11,6,1
2.218,0.0,,-1.0,1.0,11,6,2
0.7589999999999999,0.0,,-1.0,1.0,11,6,3
0.751,0.0,,-1.0,1.0,11,6,4
2.702,0.0,,-1.0,1.0,11,6,5
1.9469999999999998,0.052,,-1.0,1.0,11,6,6
0.40900000000000003,0.519,,-1.0,1.0,11,6,7
0.987,0.97,,-1.0,1.0,11,6,8
2.237,1.734,,-1.0,1.0,11,6,9
1.201,1.763,,-1.0,1.0,11,6,10
1.951,1.592,,-1.0,1.0,11,6,11
1.823,2.403,,-1.0,1.0,11,6,12
0.45499999999999996,2.776,,-1.0,1.0,11,6,13
0.496,2.267,,-1.0,1.0,11,6,14
0.5980000000000001,0.484,,-1.0,1.0,11,6,15
2.3089999999999997,0.0,,-1.0,1.0,11,6,16
2.55,0.0,,-1.0,1.0,11,6,17
2.439,0.0,,-1.0,1.0,11,6,18
1.988,0.0,,-1.0,1.0,11,6,19
0.524,0.0,,-1.0,1.0,11,6,20
1.949,0.0,,-1.0,1.0,11,6,21
2.04,0.0,,-1.0,1.0,11,6,22
0.24,0.0,,-1.0,1.0,11,6,23
1.105,0.0,,-1.0,1.0,11,7,0
2.15,0.0,,-1.0,1.0,11,7,1
1.666,0.0,,-1.0,1.0,11,7,2
0.243,0.0,,-1.0,1.0,11,7,3
2.1559999999999997,0.0,,-1.0,1.0,11,7,4
2.7119999999999997,0.0,,-1.0,1.0,11,7,5
1.6050000000000002,0.11,,-1.0,1.0,11,7,6
0.35,0.652,,-1.0,1.0,11,7,7
1.597,1.2690000000000001,,-1.0,1.0,11,7,8
1.9569999999999999,1.917,,-1.0,1.0,11,7,9
0.641,2.301,,-1.0,1.0,11,7,10
2.6189999999999998,2.208,,-1.0,1.0,11,7,11
1.4480000000000002,2.238,,-1.0,1.0,11,7,12
0.394,1.473,,-1.0,1.0,11,7,13
0.337,1.143,,-1.0,1.0,11,7,14
1.792,0.503,,-1.0,1.0,11,7,15
2.144,0.0,,-1.0,1.0,11,7,16
2.8979999999999997,0.0,,-1.0,1.0,11,7,17
2.2680000000000002,0.0,,-1.0,1.0,11,7,18
0.49,0.0,,-1.0,1.0,11,7,19
2.208,0.0,,-1.0,1.0,11,7,20
2.402,0.0,,-1.0,1.0,11,7,21
1.9550000000000003,0.0,,-1.0,1.0,11,7,22
0.297,0.0,,-1.0,1.0,11,7,23
2.4779999999999998,0.0,,-1.0,1.0,11,8,0
2.6470000000000002,0.0,,-1.0,1.0,11,8,1
1.681,0.0,,-1.0,1.0,11,8,2
0.817,0.0,,-1.0,1.0,11,8,3
2.626,0.0,,-1.0,1.0,11,8,4
3.066,0.0,,-1.0,1.0,11,8,5
2.8329999999999997,1.263,,-1.0,1.0,11,8,6
1.7489999999999999,3.4050000000000002,,-1.0,1.0,11,8,7
0.401,4.119,,-1.0,1.0,11,8,8
0.29000000000000004,4.535,,-1.0,1.0,11,8,9
0.776,4.8870000000000005,,-1.0,1.0,11,8,10
2.459,4.577,,-1.0,1.0,11,8,11
0.393,3.62,,-1.0,1.0,11,8,12
0.5660000000000001,3.0570000000000004,,-1.0,1.0,11,8,13
2.2640000000000002,2.032,,-1.0,1.0,11,8,14
0.46799999999999997,0.14800000000000002,,-1.0,1.0,11,8,15
1.029,0.0,,-1.0,1.0,11,8,16
4.683999999999999,0.0,,-1.0,1.0,11,8,17
2.801,0.0,,-1.0,1.0,11,8,18
2.614,0.0,,-1.0,1.0,11,8,19
1.189,0.0,,-1.0,1.0,11,8,20
1.758,0.0,,-1.0,1.0,11,8,21
2.215,0.0,,-1.0,1.0,11,8,22
1.9169999999999998,0.0,,-1.0,1.0,11,8,23
0.251,0.0,,-1.0,1.0,11,9,0
2.5410000000000004,0.0,,-1.0,1.0,11,9,1
2.283,0.0,,-1.0,1.0,11,9,2
1.0959999999999999,0.0,,-1.0,1.0,11,9,3
0.748,0.0,,-1.0,1.0,11,9,4
3.287,0.0,,-1.0,1.0,11,9,5
2.3649999999999998,0.122,,-1.0,1.0,11,9,6
2.155,1.26,,-1.0,1.0,11,9,7
0.251,2.314,,-1.0,1.0,11,9,8
0.47700000000000004,2.834,,-1.0,1.0,11,9,9
2.302,4.0280000000000005,,-1.0,1.0,11,9,10
0.265,4.614,,-1.0,1.0,11,9,11
0.267,2.4810000000000003,,-1.0,1.0,11,9,12
1.6620000000000001,1.1740000000000002,,-1.0,1.0,11,9,13
2.3,0.475,,-1.0,1.0,11,9,14
1.3600000000000003,0.04,,-1.0,1.0,11,9,15
2.415,0.0,,-1.0,1.0,11,9,16
3.178,0.0,,-1.0,1.0,11,9,17
3.428,0.0,,-1.0,1.0,11,9,18
2.077,0.0,,-1.0,1.0,11,9,19
1.5270000000000001,0.0,,-1.0,1.0,11,9,20
2.588,0.0,,-1.0,1.0,11,9,21
1.94,0.0,,-1.0,1.0,11,9,22
0.259,0.0,,-1.0,1.0,11,9,23
2.105,0.0,,-1.0,1.0,11,10,0
2.23,0.0,,-1.0,1.0,11,10,1
1.119,0.0,,-1.0,1.0,11,10,2
0.698,0.0,,-1.0,1.0,11,10,3
2.3120000000000003,0.0,,-1.0,1.0,11,10,4
3.1180000000000003,0.0,,-1.0,1.0,11,10,5
1.7970000000000004,0.067,,-1.0,1.0,11,10,6
0.29100000000000004,0.688,,-1.0,1.0,11,10,7
2.279,1.302,,-1.0,1.0,11,10,8
1.6569999999999998,1.8250000000000002,,-1.0,1.0,11,10,9
0.279,2.066,,-1.0,1.0,11,10,10
2.411,1.712,,-1.0,1.0,11,10,11
2.415,1.443,3.9353367521367524,18.0,0.40024359659074094,11,10,12
0.264,1.107,3.904,17.0,0.5101214021266337,11,10,13
0.264,0.6300000000000001,3.904,16.0,0.6191242600343371,11,10,14
1.874,0.024,3.876697435897436,15.0,0.7281271179420404,11,10,15
1.737,0.0,3.84,14.0,0.8363676660353514,11,10,16
0.929,0.0,0.7429606837606837,13.0,0.943583591846207,11,10,17
2.8529999999999998,0.0,0.0,12.0,0.9643276589166414,11,10,18
2.8280000000000003,0.0,0.0,11.0,0.9643276589166414,11,10,19
1.072,0.0,0.0,10.0,0.9643276589166414,11,10,20
1.3010000000000002,0.0,0.0,9.0,0.9643276589166414,11,10,21
2.3810000000000002,0.0,0.0,8.0,0.9643276589166414,11,10,22
0.532,0.0,0.0,7.0,0.9643276589166414,11,10,23
