electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour
0.637,0.0,,-1.0,1.0,11,1,0
0.63,0.0,,-1.0,1.0,11,1,1
0.6499999999999999,0.0,,-1.0,1.0,11,1,2
0.636,0.0,,-1.0,1.0,11,1,3
0.649,0.0,,-1.0,1.0,11,1,4
0.647,0.0,,-1.0,1.0,11,1,5
0.631,0.011,,-1.0,1.0,11,1,6
0.614,0.155,,-1.0,1.0,11,1,7
0.657,0.355,,-1.0,1.0,11,1,8
0.601,0.663,,-1.0,1.0,11,1,9
0.6080000000000001,0.608,,-1.0,1.0,11,1,10
0.8372102564102564,0.9450000000000001,1.6427897435897436,3.0,0.49558671246132346,11,1,11
1.3534957264957261,1.11,9.137504273504273,2.0,0.5408795356589223,11,1,12
1.2569282051282058,0.754,7.138071794871793,1.0,0.7928067023228554,11,1,13
0.7810837606837607,0.176,0.3769162393162393,0.0,0.9896081646149372,11,1,14
0.634,0.022,,-1.0,1.0,11,1,15
0.6599999999999999,0.0,,-1.0,1.0,11,1,16
0.65,0.0,,-1.0,1.0,11,1,17
0.6689999999999999,0.0,,-1.0,1.0,11,1,18
0.6599999999999999,0.0,,-1.0,1.0,11,1,19
0.618,0.0,,-1.0,1.0,11,1,20
0.6849999999999999,0.0,,-1.0,1.0,11,1,21
0.683,0.0,,-1.0,1.0,11,1,22
0.639,0.0,,-1.0,1.0,11,1,23
0.656,0.0,,-1.0,1.0,11,2,0
0.626,0.0,,-1.0,1.0,11,2,1
0.638,0.0,,-1.0,1.0,11,2,2
0.6619999999999999,0.0,,-1.0,1.0,11,2,3
0.62,0.0,,-1.0,1.0,11,2,4
0.631,0.0,,-1.0,1.0,11,2,5
0.647,0.001,,-1.0,1.0,11,2,6
0.62,0.07500000000000001,,-1.0,1.0,11,2,7
0.625,0.382,,-1.0,1.0,11,2,8
0.664,1.07,,-1.0,1.0,11,2,9
0.617,1.745,,-1.0,1.0,11,2,10
0.638,2.4,,-1.0,1.0,11,2,11
0.606,0.918,,-1.0,1.0,11,2,12
0.66,1.5659999999999998,,-1.0,1.0,11,2,13
0.649,0.3420000000000001,,-1.0,1.0,11,2,14
0.674,0.03,,-1.0,1.0,11,2,15
0.66,0.0,,-1.0,1.0,11,2,16
0.656,0.0,,-1.0,1.0,11,2,17
0.6859999999999999,0.0,,-1.0,1.0,11,2,18
0.621,0.0,,-1.0,1.0,11,2,19
0.6519999999999999,0.0,,-1.0,1.0,11,2,20
0.655,0.0,,-1.0,1.0,11,2,21
0.65,0.0,,-1.0,1.0,11,2,22
0.635,0.0,,-1.0,1.0,11,2,23
0.61,0.0,,-1.0,1.0,11,3,0
0.666,0.0,,-1.0,1.0,11,3,1
0.641,0.0,,-1.0,1.0,11,3,2
0.643,0.0,,-1.0,1.0,11,3,3
0.632,0.0,,-1.0,1.0,11,3,4
0.62,0.0,,-1.0,1.0,11,3,5
0.638,0.059000000000000004,,-1.0,1.0,11,3,6
0.615,0.5660000000000001,,-1.0,1.0,11,3,7
0.625,2.423,,-1.0,1.0,11,3,8
0.583,2.72,,-1.0,1.0,11,3,9
0.602,3.85,,-1.0,1.0,11,3,10
0.595,4.389,,-1.0,1.0,11,3,11
0.624,3.87,,-1.0,1.0,11,3,12
0.618,2.319,,-1.0,1.0,11,3,13
0.5890000000000001,0.252,,-1.0,1.0,11,3,14
0.638,0.01,,-1.0,1.0,11,3,15
0.629,0.0,,-1.0,1.0,11,3,16
0.629,0.0,,-1.0,1.0,11,3,17
0.638,0.0,,-1.0,1.0,11,3,18
0.606,0.0,,-1.0,1.0,11,3,19
0.653,0.0,,-1.0,1.0,11,3,20
0.649,0.0,,-1.0,1.0,11,3,21
0.615,0.0,,-1.0,1.0,11,3,22
0.635,0.0,,-1.0,1.0,11,3,23
0.623,0.0,,-1.0,1.0,11,4,0
0.632,0.0,,-1.0,1.0,11,4,1
0.629,0.0,,-1.0,1.0,11,4,2
0.6010000000000001,0.0,,-1.0,1.0,11,4,3
0.648,0.0,,-1.0,1.0,11,4,4
0.601,0.0,,-1.0,1.0,11,4,5
0.632,0.033,,-1.0,1.0,11,4,6
0.5890000000000001,0.372,,-1.0,1.0,11,4,7
0.618,2.498,,-1.0,1.0,11,4,8
0.5770000000000001,3.774,,-1.0,1.0,11,4,9
0.598,4.462,,-1.0,1.0,11,4,10
0.619,4.34,,-1.0,1.0,11,4,11
0.624,2.026,,-1.0,1.0,11,4,12
0.6179999999999999,0.735,,-1.0,1.0,11,4,13
0.599,0.445,,-1.0,1.0,11,4,14
