timestamp,serial,charger_id_org,transaction_id,e_production,e_consumption,e_charger,charger_id,h_countdown,soc_ev
2020-11-01 20:30:00+01:00,136056,99,,0,851,,99,-1,1
2020-11-01 20:45:00+01:00,136056,99,,0,528,,99,-1,1
2020-11-01 21:00:00+01:00,136056,99,,0,596,,99,-1,1
2020-11-01 21:15:00+01:00,136056,99,,0,620,,99,-1,1
2020-11-01 21:30:00+01:00,136056,99,,0,311,,99,-1,1
2020-11-01 21:45:00+01:00,136056,99,,0,153,,99,-1,1
2020-11-01 22:00:00+01:00,136056,99,,0,152,,99,-1,1
2020-11-01 22:15:00+01:00,136056,99,,0,164,,99,-1,1
2020-11-01 22:30:00+01:00,136056,99,,0,161,,99,-1,1
2020-11-01 22:45:00+01:00,136056,99,,0,66,,99,-1,1
2020-11-01 23:00:00+01:00,136056,99,,0,56,,99,-1,1
2020-11-01 23:15:00+01:00,136056,99,,0,70,,99,-1,1
2020-11-01 23:30:00+01:00,136056,99,,0,72,,99,-1,1
2020-11-01 23:45:00+01:00,136056,99,,0,62,,99,-1,1
2020-11-02 00:00:00+01:00,136056,99,,0,58,,99,-1,1
2020-11-02 00:15:00+01:00,136056,99,,0,68,,99,-1,1
2020-11-02 00:30:00+01:00,136056,99,,0,70,,99,-1,1
2020-11-02 00:45:00+01:00,136056,99,,0,66,,99,-1,1
2020-11-02 01:00:00+01:00,136056,99,,0,57,,99,-1,1
2020-11-02 01:15:00+01:00,136056,99,,0,64,,99,-1,1
2020-11-02 01:30:00+01:00,136056,99,,0,74,,99,-1,1
2020-11-02 01:45:00+01:00,136056,99,,0,67,,99,-1,1
2020-11-02 02:00:00+01:00,136056,99,,0,57,,99,-1,1
2020-11-02 02:15:00+01:00,136056,99,,0,65,,99,-1,1
2020-11-02 02:30:00+01:00,136056,99,,0,73,,99,-1,1
2020-11-02 02:45:00+01:00,136056,99,,0,467,,99,-1,1
2020-11-02 03:00:00+01:00,136056,99,,0,479,,99,-1,1
2020-11-02 03:15:00+01:00,136056,99,,0,504,,99,-1,1
2020-11-02 03:30:00+01:00,136056,99,,0,526,,99,-1,1
2020-11-02 03:45:00+01:00,136056,99,,0,247,,99,-1,1
2020-11-02 04:00:00+01:00,136056,99,,0,53,,99,-1,1
2020-11-02 04:15:00+01:00,136056,99,,0,56,,99,-1,1
2020-11-02 04:30:00+01:00,136056,99,,0,69,,99,-1,1
2020-11-02 04:45:00+01:00,136056,99,,0,68,,99,-1,1
2020-11-02 05:00:00+01:00,136056,99,,0,56,,99,-1,1
2020-11-02 05:15:00+01:00,136056,99,,0,60,,99,-1,1
2020-11-02 05:30:00+01:00,136056,99,,0,74,,99,-1,1
2020-11-02 05:45:00+01:00,136056,99,,0,72,,99,-1,1
2020-11-02 06:00:00+01:00,136056,99,,0,58,,99,-1,1
2020-11-02 06:15:00+01:00,136056,99,,0,62,,99,-1,1
2020-11-02 06:30:00+01:00,136056,99,,0,75,,99,-1,1
2020-11-02 06:45:00+01:00,136056,99,,0,74,,99,-1,1
2020-11-02 07:00:00+01:00,136056,99,,0,91,,99,-1,1
2020-11-02 07:15:00+01:00,136056,99,,0,169,,99,-1,1
2020-11-02 07:30:00+01:00,136056,99,,27,670,,99,-1,1
2020-11-02 07:45:00+01:00,136056,99,,54,803,,99,-1,1
2020-11-02 08:00:00+01:00,136056,99,,219,417,,99,-1,1
2020-11-02 08:15:00+01:00,136056,99,,351,486,,99,-1,1
2020-11-02 08:30:00+01:00,136056,99,,321,545,,99,-1,1
2020-11-02 08:45:00+01:00,136056,99,,516,78,,99,-1,1
2020-11-02 09:00:00+01:00,136056,99,,669,77,,99,-1,1
2020-11-02 09:15:00+01:00,136056,99,,777,67,,99,-1,1
2020-11-02 09:30:00+01:00,136056,99,,861,183,,99,-1,1
2020-11-02 09:45:00+01:00,136056,99,,1587,72,,99,-1,1
2020-11-02 10:00:00+01:00,136056,99,,1956,78,,99,-1,1
2020-11-02 10:15:00+01:00,136056,99,,1866,70,,99,-1,1
2020-11-02 10:30:00+01:00,136056,99,,2064,61,,99,-1,1
2020-11-02 10:45:00+01:00,136056,99,,1653,72,,99,-1,1
2020-11-02 11:00:00+01:00,136056,99,,1569,77,,99,-1,1
2020-11-02 11:15:00+01:00,136056,99,,2052,71,,99,-1,1
2020-11-02 11:30:00+01:00,136056,99,,1812,87,,99,-1,1
2020-11-02 11:45:00+01:00,136056,99,,2265,144,,99,-1,1
2020-11-02 12:00:00+01:00,136056,99,,3195,115,,99,-1,1
2020-11-02 12:15:00+01:00,136056,99,,3942,143,,99,-1,1
2020-11-02 12:30:00+01:00,136056,99,,3303,116,,99,-1,1
2020-11-02 12:45:00+01:00,136056,99,,2400,150,,99,-1,1
2020-11-02 13:00:00+01:00,136056,99,,2568,511,,99,-1,1
2020-11-02 13:15:00+01:00,136056,99,,3129,744,,99,-1,1
2020-11-02 13:30:00+01:00,136056,99,,2676,487,,99,-1,1
2020-11-02 13:45:00+01:00,136056,99,,1764,91,,99,-1,1
2020-11-02 14:00:00+01:00,136056,99,,2166,94,,99,-1,1
2020-11-02 14:15:00+01:00,136056,99,,2820,97,,99,-1,1
2020-11-02 14:30:00+01:00,136056,99,,2259,87,,99,-1,1
2020-11-02 14:45:00+01:00,136056,99,,2052,65,,99,-1,1
2020-11-02 15:00:00+01:00,136056,99,,2232,69,,99,-1,1
2020-11-02 15:15:00+01:00,136056,99,,1137,75,,99,-1,1
2020-11-02 15:30:00+01:00,136056,99,,570,76,,99,-1,1
2020-11-02 15:45:00+01:00,136056,99,,1302,66,,99,-1,1
2020-11-02 16:00:00+01:00,136056,99,,1158,87,,99,-1,1
2020-11-02 16:15:00+01:00,136056,99,,723,102,,99,-1,1
2020-11-02 16:30:00+01:00,136056,99,,300,100,,99,-1,1
2020-11-02 16:45:00+01:00,136056,99,,3,99,,99,-1,1
2020-11-02 17:00:00+01:00,136056,99,18,0,116,1986.05811965812,99,47.5,0.567226619148528
2020-11-02 17:15:00+01:00,136056,99,18,0,132,977.565811965812,99,47.25,0.622678978526994
2020-11-02 17:30:00+01:00,136056,99,18,0,171,979.747008547008,99,47,0.649973411748597
2020-11-02 17:45:00+01:00,136056,99,18,0,842,971.993162393162,99,46.75,0.67732874575427
2020-11-02 18:00:00+01:00,136056,99,18,0,439,972.020512820513,99,46.5,0.704467586063594
2020-11-02 18:15:00+01:00,136056,99,18,0,362,974.947008547009,99,46.25,0.731607190019114
2020-11-02 18:30:00+01:00,136056,99,18,0,529,976,99,46,0.758828504117523
2020-11-02 18:45:00+01:00,136056,99,18,0,189,971.699145299145,99,45.75,0.786079218594449
2020-11-02 19:00:00+01:00,136056,99,18,0,263,976.567521367521,99,45.5,0.813209849707174
2020-11-02 19:15:00+01:00,136056,99,18,0,587,978.871794871795,99,45.25,0.840476409842651
2020-11-02 19:30:00+01:00,136056,99,18,0,138,970.420512820513,99,45,0.867807307170076
2020-11-02 19:45:00+01:00,136056,99,18,0,312,978.08547008547,99,44.75,0.894902237823175
2020-11-02 20:00:00+01:00,136056,99,18,0,782,975.822222222222,99,44.5,0.922211180322487
2020-11-02 20:15:00+01:00,136056,99,18,0,927,976,99,44.25,0.949456931099144
2020-11-02 20:30:00+01:00,136056,99,18,0,869,723.295726495727,99,44,0.97670764557607
2020-11-02 20:45:00+01:00,136056,99,18,0,554,110.933333333333,99,43.75,0.996902651032131
2020-11-02 21:00:00+01:00,136056,99,18,0,577,0,99,43.5,1
2020-11-02 21:15:00+01:00,136056,99,18,0,208,0,99,43.25,1
2020-11-02 21:30:00+01:00,136056,99,18,0,116,0,99,43,1
2020-11-02 21:45:00+01:00,136056,99,18,0,122,0,99,42.75,1
2020-11-02 22:00:00+01:00,136056,99,18,0,130,0,99,42.5,1
2020-11-02 22:15:00+01:00,136056,99,18,0,76,0,99,42.25,1
2020-11-02 22:30:00+01:00,136056,99,18,0,59,0,99,42,1
2020-11-02 22:45:00+01:00,136056,99,18,0,62,0,99,41.75,1
2020-11-02 23:00:00+01:00,136056,99,18,0,71,0,99,41.5,1
2020-11-02 23:15:00+01:00,136056,99,18,0,73,0,99,41.25,1
2020-11-02 23:30:00+01:00,136056,99,18,0,58,0,99,41,1
2020-11-02 23:45:00+01:00,136056,99,18,0,58,0,99,40.75,1
2020-11-03 00:00:00+01:00,136056,99,18,0,73,0,99,40.5,1
2020-11-03 00:15:00+01:00,136056,99,18,0,71,0,99,40.25,1
2020-11-03 00:30:00+01:00,136056,99,18,0,56,0,99,40,1
2020-11-03 00:45:00+01:00,136056,99,18,0,61,0,99,39.75,1
2020-11-03 01:00:00+01:00,136056,99,18,0,73,0,99,39.5,1
2020-11-03 01:15:00+01:00,136056,99,18,0,70,0,99,39.25,1
2020-11-03 01:30:00+01:00,136056,99,18,0,58,0,99,39,1
2020-11-03 01:45:00+01:00,136056,99,18,0,62,0,99,38.75,1
2020-11-03 02:00:00+01:00,136056,99,18,0,73,0,99,38.5,1
2020-11-03 02:15:00+01:00,136056,99,18,0,71,0,99,38.25,1
2020-11-03 02:30:00+01:00,136056,99,18,0,57,0,99,38,1
2020-11-03 02:45:00+01:00,136056,99,18,0,60,0,99,37.75,1
2020-11-03 03:00:00+01:00,136056,99,18,0,72,0,99,37.5,1
2020-11-03 03:15:00+01:00,136056,99,18,0,73,0,99,37.25,1
2020-11-03 03:30:00+01:00,136056,99,18,0,59,0,99,37,1
2020-11-03 03:45:00+01:00,136056,99,18,0,59,0,99,36.75,1
2020-11-03 04:00:00+01:00,136056,99,18,0,71,0,99,36.5,1
2020-11-03 04:15:00+01:00,136056,99,18,0,69,0,99,36.25,1
2020-11-03 04:30:00+01:00,136056,99,18,0,53,0,99,36,1
2020-11-03 04:45:00+01:00,136056,99,18,0,58,0,99,35.75,1
2020-11-03 05:00:00+01:00,136056,99,18,0,73,0,99,35.5,1
2020-11-03 05:15:00+01:00,136056,99,18,0,182,0,99,35.25,1
2020-11-03 05:30:00+01:00,136056,99,18,0,450,0,99,35,1
2020-11-03 05:45:00+01:00,136056,99,18,0,479,0,99,34.75,1
2020-11-03 06:00:00+01:00,136056,99,18,0,494,0,99,34.5,1
2020-11-03 06:15:00+01:00,136056,99,18,0,786,0,99,34.25,1
2020-11-03 06:30:00+01:00,136056,99,18,0,114,0,99,34,1
2020-11-03 06:45:00+01:00,136056,99,18,0,69,0,99,33.75,1
2020-11-03 07:00:00+01:00,136056,99,18,0,166,0,99,33.5,1
2020-11-03 07:15:00+01:00,136056,99,18,0,123,0,99,33.25,1
2020-11-03 07:30:00+01:00,136056,99,18,12,100,0,99,33,1
2020-11-03 07:45:00+01:00,136056,99,18,108,72,0,99,32.75,1
2020-11-03 08:00:00+01:00,136056,99,18,132,65,0,99,32.5,1
2020-11-03 08:15:00+01:00,136056,99,18,60,74,0,99,32.25,1
2020-11-03 08:30:00+01:00,136056,99,18,51,73,0,99,32,1
2020-11-03 08:45:00+01:00,136056,99,18,114,60,0,99,31.75,1
2020-11-03 09:00:00+01:00,136056,99,18,198,77,0,99,31.5,1
2020-11-03 09:15:00+01:00,136056,99,18,180,181,0,99,31.25,1
2020-11-03 09:30:00+01:00,136056,99,18,459,187,0,99,31,1
2020-11-03 09:45:00+01:00,136056,99,18,609,476,0,99,30.75,1
2020-11-03 10:00:00+01:00,136056,99,18,495,496,0,99,30.5,1
2020-11-03 10:15:00+01:00,136056,99,18,465,531,0,99,30.25,1
2020-11-03 10:30:00+01:00,136056,99,18,495,341,0,99,30,1
2020-11-03 10:45:00+01:00,136056,99,18,801,67,0,99,29.75,1
2020-11-03 11:00:00+01:00,136056,99,18,876,77,0,99,29.5,1
2020-11-03 11:15:00+01:00,136056,99,18,984,285,0,99,29.25,1
2020-11-03 11:30:00+01:00,136056,99,18,1269,1583,0,99,29,1
2020-11-03 11:45:00+01:00,136056,99,18,1491,1823,0,99,28.75,1
2020-11-03 12:00:00+01:00,136056,99,18,1302,821,0,99,28.5,1
2020-11-03 12:15:00+01:00,136056,99,18,1074,95,0,99,28.25,1
2020-11-03 12:30:00+01:00,136056,99,18,852,105,0,99,28,1
2020-11-03 12:45:00+01:00,136056,99,18,789,92,0,99,27.75,1
2020-11-03 13:00:00+01:00,136056,99,18,750,85,0,99,27.5,1
2020-11-03 13:15:00+01:00,136056,99,18,435,122,0,99,27.25,1
2020-11-03 13:30:00+01:00,136056,99,18,414,103,0,99,27,1
2020-11-03 13:45:00+01:00,136056,99,18,657,207,0,99,26.75,1
2020-11-03 14:00:00+01:00,136056,99,18,747,490,0,99,26.5,1
2020-11-03 14:15:00+01:00,136056,99,18,564,525,0,99,26.25,1
2020-11-03 14:30:00+01:00,136056,99,18,336,419,0,99,26,1
2020-11-03 14:45:00+01:00,136056,99,18,273,70,0,99,25.75,1
2020-11-03 15:00:00+01:00,136056,99,18,351,64,0,99,25.5,1
2020-11-03 15:15:00+01:00,136056,99,18,321,78,0,99,25.25,1
2020-11-03 15:30:00+01:00,136056,99,18,357,77,0,99,25,1
2020-11-03 15:45:00+01:00,136056,99,18,186,70,0,99,24.75,1
2020-11-03 16:00:00+01:00,136056,99,18,9,70,0,99,24.5,1
2020-11-03 16:15:00+01:00,136056,99,18,0,128,0,99,24.25,1
2020-11-03 16:30:00+01:00,136056,99,18,0,131,0,99,24,1
2020-11-03 16:45:00+01:00,136056,99,18,0,117,0,99,23.75,1
2020-11-03 17:00:00+01:00,136056,99,18,0,110,0,99,23.5,1
2020-11-03 17:15:00+01:00,136056,99,18,0,139,0,99,23.25,1
2020-11-03 17:30:00+01:00,136056,99,18,0,151,0,99,23,1
2020-11-03 17:45:00+01:00,136056,99,18,0,151,0,99,22.75,1
2020-11-03 18:00:00+01:00,136056,99,18,0,138,0,99,22.5,1
2020-11-03 18:15:00+01:00,136056,99,18,0,368,0,99,22.25,1
2020-11-03 18:30:00+01:00,136056,99,18,0,774,0,99,22,1
2020-11-03 18:45:00+01:00,136056,99,18,0,657,0,99,21.75,1
2020-11-03 19:00:00+01:00,136056,99,18,0,874,0,99,21.5,1
2020-11-03 19:15:00+01:00,136056,99,18,0,706,0,99,21.25,1
2020-11-03 19:30:00+01:00,136056,99,18,0,572,0,99,21,1
2020-11-03 19:45:00+01:00,136056,99,18,0,627,0,99,20.75,1
2020-11-03 20:00:00+01:00,136056,99,18,0,401,0,99,20.5,1
2020-11-03 20:15:00+01:00,136056,99,18,0,151,0,99,20.25,1
2020-11-03 20:30:00+01:00,136056,99,18,0,165,0,99,20,1
2020-11-03 20:45:00+01:00,136056,99,18,0,165,0,99,19.75,1
2020-11-03 21:00:00+01:00,136056,99,18,0,151,0,99,19.5,1
2020-11-03 21:15:00+01:00,136056,99,18,0,149,0,99,19.25,1
2020-11-03 21:30:00+01:00,136056,99,18,0,163,0,99,19,1
2020-11-03 21:45:00+01:00,136056,99,18,0,165,0,99,18.75,1
2020-11-03 22:00:00+01:00,136056,99,18,0,125,0,99,18.5,1
2020-11-03 22:15:00+01:00,136056,99,18,0,124,0,99,18.25,1
2020-11-03 22:30:00+01:00,136056,99,18,0,224,0,99,18,1
2020-11-03 22:45:00+01:00,136056,99,18,0,527,0,99,17.75,1
2020-11-03 23:00:00+01:00,136056,99,18,0,482,0,99,17.5,1
2020-11-03 23:15:00+01:00,136056,99,18,0,501,0,99,17.25,1
2020-11-03 23:30:00+01:00,136056,99,18,0,538,0,99,17,1
2020-11-03 23:45:00+01:00,136056,99,18,0,442,0,99,16.75,1
2020-11-04 00:00:00+01:00,136056,99,18,0,60,0,99,16.5,1
2020-11-04 00:15:00+01:00,136056,99,18,0,59,0,99,16.25,1
2020-11-04 00:30:00+01:00,136056,99,18,0,74,0,99,16,1
2020-11-04 00:45:00+01:00,136056,99,18,0,75,0,99,15.75,1
2020-11-04 01:00:00+01:00,136056,99,18,0,58,0,99,15.5,1
2020-11-04 01:15:00+01:00,136056,99,18,0,60,0,99,15.25,1
2020-11-04 01:30:00+01:00,136056,99,18,0,74,0,99,15,1
2020-11-04 01:45:00+01:00,136056,99,18,0,72,0,99,14.75,1
2020-11-04 02:00:00+01:00,136056,99,18,0,60,0,99,14.5,1
2020-11-04 02:15:00+01:00,136056,99,18,0,63,0,99,14.25,1
2020-11-04 02:30:00+01:00,136056,99,18,0,402,0,99,14,1
2020-11-04 02:45:00+01:00,136056,99,18,0,486,0,99,13.75,1
2020-11-04 03:00:00+01:00,136056,99,18,0,492,0,99,13.5,1
2020-11-04 03:15:00+01:00,136056,99,18,0,512,0,99,13.25,1
2020-11-04 03:30:00+01:00,136056,99,18,0,548,0,99,13,1
2020-11-04 03:45:00+01:00,136056,99,18,0,287,0,99,12.75,1
2020-11-04 04:00:00+01:00,136056,99,18,0,53,0,99,12.5,1
2020-11-04 04:15:00+01:00,136056,99,18,0,61,0,99,12.25,1
2020-11-04 04:30:00+01:00,136056,99,18,0,74,0,99,12,1
2020-11-04 04:45:00+01:00,136056,99,18,0,68,0,99,11.75,1
2020-11-04 05:00:00+01:00,136056,99,18,0,59,0,99,11.5,1
2020-11-04 05:15:00+01:00,136056,99,18,0,67,0,99,11.25,1
2020-11-04 05:30:00+01:00,136056,99,18,0,76,0,99,11,1
2020-11-04 05:45:00+01:00,136056,99,18,0,70,0,99,10.75,1
2020-11-04 06:00:00+01:00,136056,99,18,0,612,0,99,10.5,1
2020-11-04 06:15:00+01:00,136056,99,18,0,898,0,99,10.25,1
2020-11-04 06:30:00+01:00,136056,99,18,0,399,0,99,10,1
2020-11-04 06:45:00+01:00,136056,99,18,0,494,0,99,9.75,1
2020-11-04 07:00:00+01:00,136056,99,18,0,614,0,99,9.5,1
2020-11-04 07:15:00+01:00,136056,99,18,0,574,0,99,9.25,1
2020-11-04 07:30:00+01:00,136056,99,18,18,476,0,99,9,1
2020-11-04 07:45:00+01:00,136056,99,18,117,92,0,99,8.75,1
2020-11-04 08:00:00+01:00,136056,99,18,147,117,0,99,8.5,1
2020-11-04 08:15:00+01:00,136056,99,18,162,60,0,99,8.25,1
2020-11-04 08:30:00+01:00,136056,99,18,117,71,0,99,8,1
2020-11-04 08:45:00+01:00,136056,99,18,429,74,0,99,7.75,1
2020-11-04 09:00:00+01:00,136056,99,18,309,67,0,99,7.5,1
2020-11-04 09:15:00+01:00,136056,99,18,402,59,0,99,7.25,1
2020-11-04 09:30:00+01:00,136056,99,18,336,69,0,99,7,1
2020-11-04 09:45:00+01:00,136056,99,18,471,76,0,99,6.75,1
2020-11-04 10:00:00+01:00,136056,99,18,876,119,0,99,6.5,1
2020-11-04 10:15:00+01:00,136056,99,18,1017,471,0,99,6.25,1
2020-11-04 10:30:00+01:00,136056,99,18,1236,492,0,99,6,1
2020-11-04 10:45:00+01:00,136056,99,18,1326,519,0,99,5.75,1
2020-11-04 11:00:00+01:00,136056,99,18,1155,541,0,99,5.5,1
2020-11-04 11:15:00+01:00,136056,99,18,1191,314,0,99,5.25,1
2020-11-04 11:30:00+01:00,136056,99,18,870,252,0,99,5,1
2020-11-04 11:45:00+01:00,136056,99,18,1422,800,0,99,4.75,1
2020-11-04 12:00:00+01:00,136056,99,18,1359,760,0,99,4.5,1
2020-11-04 12:15:00+01:00,136056,99,18,1011,521,0,99,4.25,1
2020-11-04 12:30:00+01:00,136056,99,18,1704,531,0,99,4,1
2020-11-04 12:45:00+01:00,136056,99,18,1251,119,0,99,3.75,1
2020-11-04 13:00:00+01:00,136056,99,18,1149,98,0,99,3.5,1
2020-11-04 13:15:00+01:00,136056,99,18,1293,98,0,99,3.25,1
2020-11-04 13:30:00+01:00,136056,99,18,1659,109,0,99,3,1
2020-11-04 13:45:00+01:00,136056,99,18,1104,87,0,99,2.75,1
2020-11-04 14:00:00+01:00,136056,99,18,963,102,0,99,2.5,1
2020-11-04 14:15:00+01:00,136056,99,18,822,99,0,99,2.25,1
2020-11-04 14:30:00+01:00,136056,99,18,510,68,0,99,2,1
2020-11-04 14:45:00+01:00,136056,99,18,402,58,0,99,1.75,1
2020-11-04 15:00:00+01:00,136056,99,18,300,72,0,99,1.5,1
2020-11-04 15:15:00+01:00,136056,99,18,159,72,0,99,1.25,1
2020-11-04 15:30:00+01:00,136056,99,18,168,63,0,99,1,1
2020-11-04 15:45:00+01:00,136056,99,18,201,327,0,99,0.75,1
2020-11-04 16:00:00+01:00,136056,99,18,99,536,0,99,0.5,1
2020-11-04 16:15:00+01:00,136056,99,18,39,561,0,99,0.25,1
2020-11-04 16:30:00+01:00,136056,99,18,0,577,0,99,0,1
2020-11-04 16:45:00+01:00,136056,99,,0,591,,99,-1,1
2020-11-04 17:00:00+01:00,136056,99,,0,324,,99,-1,1
2020-11-04 17:15:00+01:00,136056,99,,0,133,,99,-1,1
2020-11-04 17:30:00+01:00,136056,99,,0,193,,99,-1,1
2020-11-04 17:45:00+01:00,136056,99,,0,536,,99,-1,1
2020-11-04 18:00:00+01:00,136056,99,,0,390,,99,-1,1
2020-11-04 18:15:00+01:00,136056,99,,0,547,,99,-1,1
2020-11-04 18:30:00+01:00,136056,99,,0,925,,99,-1,1
2020-11-04 18:45:00+01:00,136056,99,,0,631,,99,-1,1
2020-11-04 19:00:00+01:00,136056,99,,0,563,,99,-1,1
2020-11-04 19:15:00+01:00,136056,99,,0,606,,99,-1,1
2020-11-04 19:30:00+01:00,136056,99,,0,621,,99,-1,1
2020-11-04 19:45:00+01:00,136056,99,,0,209,,99,-1,1
2020-11-04 20:00:00+01:00,136056,99,,0,172,,99,-1,1
2020-11-04 20:15:00+01:00,136056,99,,0,136,,99,-1,1
2020-11-04 20:30:00+01:00,136056,99,,0,134,,99,-1,1
2020-11-04 20:45:00+01:00,136056,99,,0,120,,99,-1,1
2020-11-04 21:00:00+01:00,136056,99,,0,121,,99,-1,1
2020-11-04 21:15:00+01:00,136056,99,,0,91,,99,-1,1
2020-11-04 21:30:00+01:00,136056,99,,0,80,,99,-1,1
2020-11-04 21:45:00+01:00,136056,99,,0,67,,99,-1,1
2020-11-04 22:00:00+01:00,136056,99,,0,479,,99,-1,1
