Soc_B,Soc_Ev,C_EV,profits,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_EV,GR_EV,B_EV,EXT_EV,month,day,hour,horizon
3.375,21.935,-1.0,-514.3560478476167,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,4319
3.2654250657892003,21.935,-1.0,-514.3560478476167,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,1.0,4319
3.156906050405377,21.935,-1.0,-514.3560478476167,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,2.0,4319
3.049442922170965,21.935,-1.0,-514.3560478476167,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,3.0,4319
2.95145670204095,21.935,-1.0,-514.3560478476167,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,4319
2.837683947813289,21.935,-1.0,-514.3560478476167,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,4319
1.5533882909758547,21.935,-1.0,-514.3560478476167,0.003,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,6.0,4319
0.7396574787987754,21.935,-1.0,-514.3560478476167,0.201,0.40099999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,7.0,4319
0.3175300259154615,21.935,-1.0,-514.3560478476167,0.515,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,8.0,4319
0.285941552646184,21.935,-1.0,-514.3560478476167,0.44,0.0,0.0,0.917,0.0,0.0,0.0,0.0,0.0,11.0,16.0,9.0,4319
1.1570829743996045,21.935,-1.0,-514.3560478476167,0.991,1.0991958488121059,0.3648041511878941,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,10.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.378,0.0,0.0,1.362,0.0,0.0,0.0,0.0,0.0,11.0,16.0,11.0,4319
1.2939,21.935,-1.0,-514.3560478476167,0.315,0.0,0.0,0.5069999999999999,0.0,0.0,0.0,0.0,0.0,11.0,16.0,12.0,4319
1.775511183,12.997780137,2.0,-514.3560478476167,0.441795555556,0.0,0.0,0.0,0.0,0.566204444444,0.0,1.686685021777068,0.0,11.0,16.0,13.0,4319
0.0,15.250669603221068,1.0,-514.3560478476167,0.896,0.0,0.016049572649999955,0.0,0.0,0.0,6.684330396778931,0.0,0.0,11.0,16.0,14.0,4319
0.0,21.935,0.0,-514.3560478476167,0.082,0.0,1.5470170940199999,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,15.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,4319
0.0,21.935,0.0,-514.3560478476167,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,17.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.879,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,18.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.611,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,19.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.637,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,20.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,21.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,22.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,23.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,2.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,3.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,4.0,4319
0.0,16.6590073823,1.0,-514.3560478476167,0.0,0.0,1.384,0.0,0.0,0.0,5.275992617699998,0.0,0.0,11.0,17.0,5.0,4319
0.0,21.935,1.0,-514.3560478476167,0.03,0.0,0.939124786325,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,6.0,4319
0.0,21.935,0.0,-514.3560478476167,0.477,0.0,0.7919310541300001,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,7.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.809,0.0,0.0,0.0,1.363,0.0,0.0,0.0,0.0,11.0,17.0,8.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.495,0.0,0.0,2.317679565423472,1.0683204345765276,0.0,0.0,0.0,0.0,11.0,17.0,9.0,4319
2.201795587152299,21.935,-1.0,-514.3560478476167,2.981,0.0,0.0,0.2030000000000003,0.0,0.0,0.0,0.0,0.0,11.0,17.0,10.0,4319
2.3945795332846846,21.935,-1.0,-514.3560478476167,0.819,0.0,0.0,1.062,0.0,0.0,0.0,0.0,0.0,11.0,17.0,11.0,4319
3.4034076958986863,21.935,-1.0,-514.3560478476167,0.237,0.0,0.0,1.8769999999999998,0.0,0.0,0.0,0.0,0.0,11.0,17.0,12.0,4319
5.18645559366781,21.935,-1.0,-514.3560478476167,0.231,0.0,0.0,1.646,0.0,0.0,0.0,0.0,0.0,11.0,17.0,13.0,4319
6.75,6.91410306403,2.0,-514.3560478476167,0.0,0.0,0.482500854701,0.0,0.0,0.577,7.123,3.3,0.0,11.0,17.0,14.0,4319
3.2761132894650005,17.91410306403,1.0,-514.3560478476167,0.034,0.0,0.7561162393159999,0.0,0.0,0.0,0.9086826802147776,3.11221425575522,0.0,11.0,17.0,15.0,4319
0.0,21.935,0.0,-514.3560478476167,0.0,0.0,1.19762393162,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,16.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.671,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,17.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,18.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,19.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.698,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,20.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,21.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,22.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,23.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,1.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,2.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,3.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,4.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,1.636,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,5.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.035,0.0,1.6860000000000002,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,6.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.214,0.0,1.095,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,7.0,4319
0.0,21.935,-1.0,-514.3560478476167,1.054,0.0,0.0,0.0,1.0559999999999998,0.0,0.0,0.0,0.0,11.0,18.0,8.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.516,0.0,0.0,0.0,3.848,0.0,0.0,0.0,0.0,11.0,18.0,9.0,4319
0.0,21.935,-1.0,-514.3560478476167,3.403,0.0,0.0,0.17875820691727967,1.3682417930827204,0.0,0.0,0.0,0.0,11.0,18.0,10.0,4319
0.16982029657141567,21.935,-1.0,-514.3560478476167,0.804,0.0,0.0,3.3,0.8469999999999995,0.0,0.0,0.0,0.0,11.0,18.0,11.0,4319
3.3048152019625183,21.935,-1.0,-514.3560478476167,1.576,0.0,0.0,2.319,0.0,0.0,0.0,0.0,0.0,11.0,18.0,12.0,4319
5.50776605750646,21.935,-1.0,-514.3560478476167,1.669,0.0,0.0,1.249,0.0,0.0,0.0,0.0,0.0,11.0,18.0,13.0,4319
6.694150824524735,21.935,1.0,-514.3560478476167,1.163,0.0,0.0,0.05899999999999994,0.0,0.0,0.0,0.0,0.0,11.0,18.0,14.0,4319
6.75,21.935,0.0,-514.3560478476167,0.048,1.8599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,15.0,4319
4.791902763153001,21.935,-1.0,-514.3560478476167,0.0,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,16.0,4319
3.966495848173306,21.935,-1.0,-514.3560478476167,0.0,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,17.0,4319
3.0442715901376607,21.935,-1.0,-514.3560478476167,0.0,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,18.0,4319
2.453653946199007,21.935,-1.0,-514.3560478476167,0.0,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,19.0,4319
1.6704224418418208,21.935,-1.0,-514.3560478476167,0.0,0.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,20.0,4319
0.9882670660089654,21.935,-1.0,-514.3560478476167,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,21.0,4319
0.7313953127331851,21.935,-1.0,-514.3560478476167,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,22.0,4319
0.6261102129788032,21.935,-1.0,-514.3560478476167,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,23.0,4319
0.5208282717774138,21.935,-1.0,-514.3560478476167,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,4319
0.4102863311395104,21.935,-1.0,-514.3560478476167,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,1.0,4319
0.2997477067598262,21.935,-1.0,-514.3560478476167,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,2.0,4319
0.18815976695992342,21.935,-1.0,-514.3560478476167,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,3.0,4319
0.08289096427191461,21.935,-1.0,-514.3560478476167,0.0,0.07874405366564027,0.027255946334359724,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,4.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,1.449,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,5.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.072,0.0,1.0759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,6.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.226,0.0,0.661,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,7.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.305,0.0,0.40399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,8.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.791,0.0,0.0,0.7279999999999999,0.0,0.0,0.0,0.0,0.0,11.0,19.0,9.0,4319
0.6915999999999999,21.935,-1.0,-514.3560478476167,0.618,0.6570002893983574,2.449999710601643,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.19,0.0,0.792,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,11.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.191,0.0,1.156,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,12.0,4319
0.0,21.935,-1.0,-514.3560478476167,1.045,0.0,0.13600000000000012,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,13.0,4319
0.0,21.935,1.0,-514.3560478476167,0.176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,14.0,4319
0.0,21.935,0.0,-514.3560478476167,0.01,0.0,1.476,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,15.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,16.0,4319
0.0,9.38862027488,2.0,-514.3560478476167,0.0,0.0,1.07326542347,0.0,0.0,0.0,1.5463797251199995,0.0,0.0,11.0,19.0,17.0,4319
0.0,10.934999999999999,1.0,-514.3560478476167,0.0,0.0,0.796020512821,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,18.0,4319
0.0,10.934999999999999,0.0,-514.3560478476167,0.0,0.0,0.78144957265,0.0,0.0,0.0,11.0,0.0,0.0,11.0,19.0,19.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.501,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,20.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,21.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,22.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,23.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,1.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,2.0,4319
0.0,21.935,-1.0,-514.3560478476167,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,3.0,4319
