Soc_B,Soc_Ev,C_EV,profits,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_EV,GR_EV,B_EV,EXT_EV,month,day,hour,horizon
3.375,35.816,-1.0,-381.6691264781644,0.0,2.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,4319
0.9991092763098499,35.816,-1.0,-381.6691264781644,0.0,0.9491253378776098,0.7818746621223903,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,1.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.0,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,2.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.0,0.0,2.225,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,3.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.0,0.0,2.057,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,4.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.0,0.0,2.884,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,5.0,4319
0.0,35.816,-1.0,-381.6691264781644,1.156,0.0,0.41000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,6.0,4319
0.0,35.816,-1.0,-381.6691264781644,1.223,0.0,0.0,0.0,4.333,0.0,0.0,0.0,0.0,11.0,18.0,7.0,4319
0.0,35.816,-1.0,-381.6691264781644,1.667,0.0,0.0,0.0,5.509,0.0,0.0,0.0,0.0,11.0,18.0,8.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.857,0.0,0.0,0.0,7.278999999999999,0.0,0.0,0.0,0.0,11.0,18.0,9.0,4319
0.0,35.816,-1.0,-381.6691264781644,2.135,0.0,0.0,0.0,6.731,0.0,0.0,0.0,0.0,11.0,18.0,10.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.763,0.0,0.0,0.0,7.436999999999999,0.0,0.0,0.0,0.0,11.0,18.0,11.0,4319
0.0,35.816,-1.0,-381.6691264781644,0.274,0.0,0.0,0.2025783864325598,5.53142161356744,0.0,0.0,0.0,0.0,11.0,18.0,12.0,4319
0.1924494671109318,35.816,-1.0,-381.6691264781644,0.271,0.0,0.0,3.3,1.255,0.0,0.0,0.0,0.0,11.0,18.0,13.0,4319
3.3274436936269187,35.816,-1.0,-381.6691264781644,0.269,0.0,0.0,3.3,0.03500000000000014,0.0,0.0,0.0,0.0,11.0,18.0,14.0,4319
6.46234387031611,35.816,-1.0,-381.6691264781644,0.271,0.0,0.0,0.30299999999999994,0.0,0.0,0.0,0.0,0.0,11.0,18.0,15.0,4319
6.75,35.816,-1.0,-381.6691264781644,0.0,0.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,16.0,4319
